ADGroup,UserID
@DLG DMS RemoteDesktop,DWomack
DLG SW InfoImage CWM,DWomack
DLG ENT OWA MFA Users,DWomack
Domain Users,DWomack-22
@DLG DMS SMS Reports PD Application Support,DWomack-22
@DLG DMS Join Server,DWomack-22
@DLG DMS Secured PswReset Unlock,DWomack-22
@DLG DMS Server Admin,DWomack-22
@FP DMS L03DataGTO01 Server Share,DWomack-22
@DLG DMS Join Workstation,DWomack-22
@DLG DMS PP JB ADM,DWomack-22
@DLG DMS RemoteAssistance,DWomack-22
@DLG DMS SMS Helpdesk,DWomack-22
@DLG DMS Secured User,DWomack-22
@DLG DMS Secured Account Unlock,DWomack-22
@DLG DMS PD DMG WM Scan,DWomack-22
@DLG DMS User,DWomack-22
@DLG DMS Account Unlock,DWomack-22
@FP DMS Altiris RLE Express Share,DWomack-22
@DLG DMS GPO Link,DWomack-22
@DLG DMS IndependentlyManaged,DWomack-22
@DLG DMS PP Service Accounts,DWomack-22
@DLG DMS PD Service Accounts,DWomack-22
DLG ENT Backup and Data Recovery DMS,DWomack-22
DLG ENT PWM,DWomack-22
DLG ENT CommVault TMS Administrators,DWomack-22
DLG ENT Cert Admins DMS,DWomack-22
Utilities,DWomack-22
DLG ADM MBX DIMC DMS Image Cash Letter,DWomack-22
ITB TEAM Staff,DWomack-22
G_EDD_TEAM,DWomack-22
DLG ENT TFA Safenet Multi-Token User,DWomack-22
DLG DSMS GTO,DWomack-22
@DLG DMS PD IMG ICAP Sup,DWomack-22
@DLG ITB TEAM IIF,DWomack-22
@DLG SW ENT InfoImage,DWomack-22
@DLG DMS OU Admin,DWomack-22
@DLG DMS PD TMS Adm,DWomack-22
@DLG ITB TEAM Server Admins,DWomack-22
DLG DMS VMWare Server Admin,DWomack-22
DLG ENT ARS DMS Support,DWomack-22
@DLG ENT Commvault Goethe Ops,DWomack-22
@DLG DMS PD Application Support,DWomack-22
@DLG ITB PSD AO,DWomack-22
@DLG ITB Users,DWomack-22
G-ITB-USERS,DWomack-22
@DLG DMS PD IIF_ReportGen_Users,DWomack-22
@DLG SW InfoI-RptGen,DWomack-22
@DLG ENT RemoteDesktop,DWomack-22
@DLG ENT Desktop Admin,DWomack-22
@FP ITB Staff,DWomack-22
@DLG_IIF_BENIIF_USER,DWomack-22
@DLG ITB Y2K Users,DWomack-22
@DLG ITB Y2K ROCITREF,DWomack-22
@DLG SW VISIO 2003,DWomack-22
@DLG ENT ShrPt Read,DWomack-22
@DLG TAX Software UeWi,DWomack-22
G-EDD-USERS,DWomack-22
@DLG DMS PD FAM Update,DWomack-22
@DLG DMS Desktop Admin,DWomack-22
@DLG SW Ent Winzip,DWomack-22
@FP DMS Share,DWomack-22
@DLG ITB PSD AO APR,DWomack-22
@DLG ITB EDD Share,DWomack-22
@FP ITB PSD VSS,DWomack-22
@FP DMS Project Team,DWomack-22
@FP ENT SMS Shared Resources,DWomack-22
@FP ITB ISMDLibrary,DWomack-22
@DLG SW ENT Office 2010,DWomack-22
TEAM IIF Library All,DWomack-22
@DLG ITB PSD Users,DWomack-22
@FP ITB ISMDLibPROJ,DWomack-22
@FP DMS SP IIF INFO,DWomack-22
@FP DMS SP REMIT INFO,DWomack-22
@DLG ITB ISD Client Solution Section,DWomack-22
@DLG DMS PD DMG ICAP Scan2,DWomack-22
@DLG DMS RemoteDesktop,DWomack-22
@DLG SW ENT HP ITSMA,DWomack-22
@FP ITB PSD Staff,DWomack-22
DLG DMS Desktop Admins,DWomack-22
Domain Users,RDuda
DLG ENT OTP VPN Users,RDuda
@DLG ITB ASD Managers,RDuda
@DLG SW DMS DV ITB SOA,RDuda
@DLG SW DMS PD ITB ASG,RDuda
DLG ENT VMWare View,RDuda
DLG ENT Mobile Access Enterprise,RDuda
DLG ADM MBX DIMC DMS Image Cash Letter,RDuda
DLG SW ENT Adobe Acrobat 11 Pro,RDuda
DLG SW ENT Project 2013,RDuda
@ORG DMS ITB SUPPORT,RDuda
DLG SW ENT Visio 2013,RDuda
DLG ITB MBX IMS Alerts,RDuda
DLG ENT VMWare Console User DMS,RDuda
DLG DMS RemoteDesktop,RDuda
DLG ENT Outlook 2013 Cached,RDuda
DLG ENT Outlook 2013 PST ReadOnly,RDuda
DLG SW ENT Adobe Acrobat,RDuda
DLG ENT Vmware VDI NonProd Pool Access,RDuda
DLG SW Reflection Desktop,RDuda
DLG ENT VPN SmartCard Only,RDuda
DLG ENT PWM,RDuda
G_TEAM_AppServices,RDuda
@DLG DMS SMS Reports PD Application Support,RDuda
@DLG SQL RS FSET Developers,RDuda
G-EDD-USERS,RDuda
@DLG ENT ShrPt Read,RDuda
@FP ITB ISD Users,RDuda
@DLG SW Attachmate,RDuda
