ServerName,Service
DGVMIMGUIAPP01,iPurgeDMS(PRE_PROD50)IQUIA
DGVMIMGUIAPP01,iPurgeRBE(PRE_PROD50)IQUIA
DGVMIMGUIAPP01,IQUIA(PRE_PROD50)
DGVMIMGUIAPP01,iScanXfer(PRE_PROD50)IQUIA
DGVMIMGUIAPP01,iStatGen(PRE_PROD50)IQUIA
DGVMIMGUIAPP01,iTransBuilder(PRE_PROD50)IQUIA
DGVMIMGUIAPP01,iXmlImport(PRE_PROD50)IQUIA
DGVMSDNIMGPP01,iExport(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iExportLabel(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iExportP3(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iFaxImport1(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iFaxImport2(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iImageProc(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iImageProc(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iInjector(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iInjector2(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iNetDisp-5.0
DGVMSDNIMGPP01,iPostEdit1(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iPostEdit2(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iPostOCR(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iPostProc(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iPPSplit(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iPreQC(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iPreQC(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iPurge(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iPurge(PRE_PROD50)IQSD
DGVMSDNIMGPP01,IQNER(PRE_PROD50)
DGVMSDNIMGPP01,IQSD(PRE_PROD50)
DGVMSDNIMGPP01,iScanXfer(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iStatGen(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iStatGen(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iTransBuilder(PRE_PROD50)IQNER
DGVMSDNIMGPP01,iTransBuilderP3(PRE_PROD50)IQSD
DGVMSDNIMGPP01,iXmlImport(PRE_PROD50)IQNER
DGVMUWIMGPP01,iDocImport1(PRE_PROD50)IQWM
DGVMUWIMGPP01,iDocImport2(PRE_PROD50)IQWM
DGVMUWIMGPP01,iDocImport3(PRE_PROD50)IQWM
DGVMUWIMGPP01,iDocImport4(PRE_PROD50)IQWM
DGVMUWIMGPP01,iExport(PRE_PROD50)IQUI
DGVMUWIMGPP01,iExport(PRE_PROD50)IQWM
DGVMUWIMGPP01,iExportDB(PRE_PROD50)IQUI
DGVMUWIMGPP01,iExportDB(PRE_PROD50)IQWM
DGVMUWIMGPP01,iExportINET(PRE_PROD50)IQUI
DGVMUWIMGPP01,iFaxImport1(PRE_PROD50)IQWM
DGVMUWIMGPP01,iFormRecog(PRE_PROD50)IQUI
DGVMUWIMGPP01,iImageProc(PRE_PROD50)IQUI
DGVMUWIMGPP01,iImageProc(PRE_PROD50)IQWM
DGVMUWIMGPP01,iInjector(PRE_PROD50)IQUI
DGVMUWIMGPP01,iNetDisp-5.0
DGVMUWIMGPP01,iPostExc(PRE_PROD50)IQUI
DGVMUWIMGPP01,iPostOCR(PRE_PROD50)IQUI
DGVMUWIMGPP01,iPostProc(PRE_PROD50)IQWM
DGVMUWIMGPP01,iPreQC(PRE_PROD50)IQUI
DGVMUWIMGPP01,iPreQC(PRE_PROD50)IQWM
DGVMUWIMGPP01,iPurge(PRE_PROD50)IQWM
DGVMUWIMGPP01,IQUI(PRE_PROD50)
DGVMUWIMGPP01,IQWM(PRE_PROD50)
DGVMUWIMGPP01,iScanXfer(PRE_PROD50)IQWM
DGVMUWIMGPP01,iStatGen(PRE_PROD50)IQUI
DGVMUWIMGPP01,iStatGen(PRE_PROD50)IQWM
DGVMUWIMGPP01,iTransBuilder(PRE_PROD50)IQUI
DGVMUWIMGPP01,iTransBuilder(PRE_PROD50)IQWM
DGVMUWIMGPP01,iXmlImport(PRE_PROD50)IQUI
DGVMAPPTAXPP01,RAGProsService
DGVMSQLDMSPP01,SQLAgent$DGVMSQLDMSPP01
DGVMSQLEXTPP01,SQLAgent$DGVMSQLEXTPP01
DGVMSQLFSTPP01,SQLAgent$DGC1VDBFSETPP03
DGVMSQLIBLPP01,SQLAgent$DGVMSQLIBLPP01
DGVMSQLIBLPP02,SQLAgent$DGVMSQLIBLPP02
DGVMSQLICAPPP01,SQLAgent$DGC1VDBICAPPP01
DGVMSQLLNKPP01,SQLAgent$DGVMSQLLNKPP01
DGVMSQLMSCPP01,SQLAgent$DGVMSQLMSCPP01
DGVMSQLPP13,SQLAgent$DGC1VDBUTLPP01
DGVMSQLRPTPP01,SQLAgent$DGC1VDBRPTPP01
